Ligne	Composant	Colonne	Ancien	Nouveau	Preuve (commit + verification)
L87	OrigamDatePickerMonth	Ticket	#410, CORRIGE #381 (df0e20e0)	#410, CORRIGE #381 (df0e20e0) ; CORRIGE (3be52775 29/08 + 4022932d 28/08 + cee129ba 05/09 + 4654c7e8 07/09) — #410	C1 defaut -> conforme (id atteint la racine, 4022932d ; couleurs en dur, 4654c7e8) et C2 defaut -> conforme (3 tokens cables/41 supprimes, cee129ba) : tous anterieurs a la mesure du 09-01 -- verdicts perimes.
L87	OrigamDatePickerMonth	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L129	OrigamListChildren	C1	defaut	conforme	"C1 defaut -> conforme : returnObject traite par useUnsupportedProp (avertissement dev), plutot qu'un retrait ou une implementation inventee (15ac1e0a, verifie grep OrigamListChildren.vue:130-132). C7 defaut -> conforme : le controle de la story dit desormais ""Return Object (declared, no effect — warns in dev)"" (verifie grep, OrigamListChildren.story.vue lignes 28/54/155) -- la story ne ment plus sur l'effet de la prop."
L129	OrigamListChildren	C7	defaut	conforme	"C1 defaut -> conforme : returnObject traite par useUnsupportedProp (avertissement dev), plutot qu'un retrait ou une implementation inventee (15ac1e0a, verifie grep OrigamListChildren.vue:130-132). C7 defaut -> conforme : le controle de la story dit desormais ""Return Object (declared, no effect — warns in dev)"" (verifie grep, OrigamListChildren.story.vue lignes 28/54/155) -- la story ne ment plus sur l'effet de la prop."
L129	OrigamListChildren	Gravite	majeur	aucun	"C1 defaut -> conforme : returnObject traite par useUnsupportedProp (avertissement dev), plutot qu'un retrait ou une implementation inventee (15ac1e0a, verifie grep OrigamListChildren.vue:130-132). C7 defaut -> conforme : le controle de la story dit desormais ""Return Object (declared, no effect — warns in dev)"" (verifie grep, OrigamListChildren.story.vue lignes 28/54/155) -- la story ne ment plus sur l'effet de la prop."
L129	OrigamListChildren	Ticket	a ouvrir (C1 majeur: returnObject accepte par IListItemChildren mais jamais lu dans OrigamListChildren.vue - prop morte a ce niveau, ne fonctionne que via le parent OrigamList; C7 mineur: story presente returnObject comme un controle testable via HstCheckbox alors qu'il n'a aucun effet ici)	a ouvrir (C1 majeur: returnObject accepte par IListItemChildren mais jamais lu dans OrigamListChildren.vue - prop morte a ce niveau, ne fonctionne que via le parent OrigamList; C7 mineur: story presente returnObject comme un controle testable via HstCheckbox alors qu'il n'a aucun effet ici) ; CORRIGE (15ac1e0a 07/09 + 835ea90b) ; aucun ticket formel n'existait — a ouvrir pour tracabilite	"C1 defaut -> conforme : returnObject traite par useUnsupportedProp (avertissement dev), plutot qu'un retrait ou une implementation inventee (15ac1e0a, verifie grep OrigamListChildren.vue:130-132). C7 defaut -> conforme : le controle de la story dit desormais ""Return Object (declared, no effect — warns in dev)"" (verifie grep, OrigamListChildren.story.vue lignes 28/54/155) -- la story ne ment plus sur l'effet de la prop."
L129	OrigamListChildren	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L120	OrigamInlineEdit	C1	defaut	conforme	"C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- ""un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField""), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur."
L120	OrigamInlineEdit	C3	defaut	conforme	"C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- ""un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField""), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur."
L120	OrigamInlineEdit	C4	defaut	conforme	"C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- ""un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField""), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur."
L120	OrigamInlineEdit	C6	defaut	conforme	"C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- ""un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField""), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur."
L120	OrigamInlineEdit	C7	defaut	conforme	"C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- ""un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField""), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur."
L120	OrigamInlineEdit	Gravite	majeur	mineur	"C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- ""un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField""), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur."
L120	OrigamInlineEdit	Ticket	#436 (C2: tokens editor.*/action-btn.* non relies au SCSS) + a ouvrir (C1 classes racine mortes; C3/C4 rules/validate/trim geles apres montage; C6 span>div; C7 story rules/validate deja trace en test.fixme)	#436 (C2: tokens editor.*/action-btn.* non relies au SCSS) + a ouvrir (C1 classes racine mortes; C3/C4 rules/validate/trim geles apres montage; C6 span>div; C7 story rules/validate deja trace en test.fixme) ; CORRIGE C1 (06b97cdd+6b87d96c 10/09), C3/C4 (af116ab0, #490 FERME 27/08), C6 (0ce5cff6, arbitrage utilisateur), C7 (585f3cc0 09/09) — #436	"C1 defaut -> conforme : les 5 classes d'etat (--editing/--pending/--multiline/--has-error/--show-actions) ont desormais des regles SCSS dediees, 2 tokens ajoutes (verifie grep, OrigamInlineEdit.vue lignes 468-548) ; A/B Playwright reel 5 failed avant / 5 passed apres (PR #636). C3/C4 defaut -> conforme : rules/validate/trim sont re-lus a chaque confirm (#490, FERME 27/08 -- ANTERIEUR a la mesure du 09-01, verdict perime, confirme independamment par 0 occurrence dans setup-reads.mjs). C6 defaut -> conforme : tag default passe de 'span' a 'div' (arbitrage utilisateur rendu et applique, 0ce5cff6 -- ""un <span> est phrasing content et ne peut pas contenir le <div> que le mode edition rend via OrigamField""), tag='span' reste la porte de sortie documentee. C7 defaut -> conforme : story a desormais un Variant Events-validate-error et des controles Playground rules/validate (verifie grep, OrigamInlineEdit.story.vue). Reste C2 defaut (non touche), gravite ramenee a mineur."
L120	OrigamInlineEdit	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L34	OrigamChartGauge	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L34	OrigamChartGauge	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L34	OrigamChartGauge	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L38	OrigamChartMap	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L38	OrigamChartMap	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L38	OrigamChartMap	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L39	OrigamChartPareto	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L39	OrigamChartPareto	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L39	OrigamChartPareto	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L40	OrigamChartPictorial	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L40	OrigamChartPictorial	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L40	OrigamChartPictorial	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L43	OrigamChartPyramid	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L43	OrigamChartPyramid	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L43	OrigamChartPyramid	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L44	OrigamChartRadar	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L44	OrigamChartRadar	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L44	OrigamChartRadar	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L48	OrigamChartStreamgraph	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L48	OrigamChartStreamgraph	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L48	OrigamChartStreamgraph	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L51	OrigamChartTreemap	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L51	OrigamChartTreemap	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L51	OrigamChartTreemap	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L53	OrigamChartWordCloud	C3	defaut	conforme	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L53	OrigamChartWordCloud	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite de la famille, jamais redescendu au composant (PR #639)	C3 defaut -> conforme : le verdict etait HERITE au niveau de la famille Chart et jamais verifie individuellement (la note du classeur le disait explicitement). setup-reads.mjs : 0 lecture eager sur toute la famille. Reste C2 defaut (non touche par ce lot, rang 6/8), gravite inchangee (majeur).
L53	OrigamChartWordCloud	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L35	OrigamChartHeatmap	C3	defaut	conforme	C3 defaut -> conforme : verdict herite de la famille, jamais verifie individuellement (PR #639). Reste C2 defaut, gravite inchangee.
L35	OrigamChartHeatmap	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite (PR #639)	C3 defaut -> conforme : verdict herite de la famille, jamais verifie individuellement (PR #639). Reste C2 defaut, gravite inchangee.
L35	OrigamChartHeatmap	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L36	OrigamChartHoneycomb	C3	defaut	conforme	C3 defaut -> conforme : verdict herite de la famille (PR #639). Restent C2 et C7 defaut (non touches), gravite inchangee (majeur, 2 defauts restants).
L36	OrigamChartHoneycomb	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite (PR #639)	C3 defaut -> conforme : verdict herite de la famille (PR #639). Restent C2 et C7 defaut (non touches), gravite inchangee (majeur, 2 defauts restants).
L36	OrigamChartHoneycomb	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L47	OrigamChartSparkline	C3	defaut	conforme	C3 defaut -> conforme : verdict herite de la famille (PR #639). Restent C2 et C5 defaut (non touches, C5 rang 5/8), gravite inchangee (majeur, 2 defauts restants).
L47	OrigamChartSparkline	Ticket	#389, #395, #426	#389, #395, #426 ; C3 CORRIGE — verdict herite (PR #639)	C3 defaut -> conforme : verdict herite de la famille (PR #639). Restent C2 et C5 defaut (non touches, C5 rang 5/8), gravite inchangee (majeur, 2 defauts restants).
L47	OrigamChartSparkline	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L95	OrigamDrawer	C3	defaut	conforme	C3/C4 defaut -> conforme : useLayoutItem({id: props.name}) lit bien props.name une seule fois au setup (le constat de code est exact), MAIS la remontee de createLayout.composable.ts montre que cet id ne sert que de cle de Map interne -- order/position/layoutSize/active restent reactifs via des refs lus en .value, independamment de la stabilite de la cle. Le seul canal pilote par name (drawerAriaLabel) est deja reactif. 3 tests TU le prouvent (montage dans un vrai OrigamLayout). Reste C7 defaut (non touche), gravite inchangee (majeur).
L95	OrigamDrawer	C4	defaut	conforme	C3/C4 defaut -> conforme : useLayoutItem({id: props.name}) lit bien props.name une seule fois au setup (le constat de code est exact), MAIS la remontee de createLayout.composable.ts montre que cet id ne sert que de cle de Map interne -- order/position/layoutSize/active restent reactifs via des refs lus en .value, independamment de la stabilite de la cle. Le seul canal pilote par name (drawerAriaLabel) est deja reactif. 3 tests TU le prouvent (montage dans un vrai OrigamLayout). Reste C7 defaut (non touche), gravite inchangee (majeur).
L95	OrigamDrawer	Ticket	#358, #419	#358, #419 ; C3/C4 FAUX POSITIF — mesure qui infirme le defaut (PR #639) — #358, #419	C3/C4 defaut -> conforme : useLayoutItem({id: props.name}) lit bien props.name une seule fois au setup (le constat de code est exact), MAIS la remontee de createLayout.composable.ts montre que cet id ne sert que de cle de Map interne -- order/position/layoutSize/active restent reactifs via des refs lus en .value, independamment de la stabilite de la cle. Le seul canal pilote par name (drawerAriaLabel) est deja reactif. 3 tests TU le prouvent (montage dans un vrai OrigamLayout). Reste C7 defaut (non touche), gravite inchangee (majeur).
L95	OrigamDrawer	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L147	OrigamPagination	C4	defaut	conforme	"C4 defaut -> conforme : useVModel(props,'modelValue',() => props.start) est une forme getter, lue paresseusement, DEJA CORRIGE b214a733 (#448) -- verdict perime. ⛔ Le champ Ticket contenait par erreur la valeur ""conforme"" (glissement de colonne) -- corrige en reference reelle. Restent C5 defaut (emits non testes, pas morts) et C7 defaut (non touches par ce lot), gravite inchangee (majeur, 2 defauts restants). Voir aussi #640 (start sans modelValue) resolu separement par #645."
L147	OrigamPagination	Ticket	conforme	#448 (C4, CORRIGE b214a733) ; #640 (start/modelValue, CORRIGE via #645/170c9cc8)	"C4 defaut -> conforme : useVModel(props,'modelValue',() => props.start) est une forme getter, lue paresseusement, DEJA CORRIGE b214a733 (#448) -- verdict perime. ⛔ Le champ Ticket contenait par erreur la valeur ""conforme"" (glissement de colonne) -- corrige en reference reelle. Restent C5 defaut (emits non testes, pas morts) et C7 defaut (non touches par ce lot), gravite inchangee (majeur, 2 defauts restants). Voir aussi #640 (start sans modelValue) resolu separement par #645."
L147	OrigamPagination	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L23	OrigamCard	C5	defaut	conforme	"C6 defaut -> conforme : role=""button""+tabindex=""0"" sur carte cliquable, Entree active le clic, decorative sans role/tabindex (08924ac9, 28/08 -- ANTERIEUR a la mesure du 09-01, verdict perime ; verifie grep OrigamCard.vue lignes 12-14, 356-412). C5 defaut -> conforme : le theme origam forcait flat:true sur toute carte (light ET dark), bloquant isHoverable ; flat:true retire des deux blocs du theme (#645/#641, 170c9cc8) -- update:hover vivant, A/B 6/6, verifie grep (theme ne mentionne plus flat pour origam-card). OrigamCard.hover-gating.spec.ts corrige pour monter avec createOrigam() reel (montait sans theme actif, donc aveugle au defaut)."
L23	OrigamCard	C6	defaut	conforme	"C6 defaut -> conforme : role=""button""+tabindex=""0"" sur carte cliquable, Entree active le clic, decorative sans role/tabindex (08924ac9, 28/08 -- ANTERIEUR a la mesure du 09-01, verdict perime ; verifie grep OrigamCard.vue lignes 12-14, 356-412). C5 defaut -> conforme : le theme origam forcait flat:true sur toute carte (light ET dark), bloquant isHoverable ; flat:true retire des deux blocs du theme (#645/#641, 170c9cc8) -- update:hover vivant, A/B 6/6, verifie grep (theme ne mentionne plus flat pour origam-card). OrigamCard.hover-gating.spec.ts corrige pour monter avec createOrigam() reel (montait sans theme actif, donc aveugle au defaut)."
L23	OrigamCard	Gravite	majeur	aucun	"C6 defaut -> conforme : role=""button""+tabindex=""0"" sur carte cliquable, Entree active le clic, decorative sans role/tabindex (08924ac9, 28/08 -- ANTERIEUR a la mesure du 09-01, verdict perime ; verifie grep OrigamCard.vue lignes 12-14, 356-412). C5 defaut -> conforme : le theme origam forcait flat:true sur toute carte (light ET dark), bloquant isHoverable ; flat:true retire des deux blocs du theme (#645/#641, 170c9cc8) -- update:hover vivant, A/B 6/6, verifie grep (theme ne mentionne plus flat pour origam-card). OrigamCard.hover-gating.spec.ts corrige pour monter avec createOrigam() reel (montait sans theme actif, donc aveugle au defaut)."
L23	OrigamCard	Ticket	#392	#392 ; CORRIGE C6 (08924ac9 28/08, #392) et C5 (170c9cc8, #645/#641) 10/09	"C6 defaut -> conforme : role=""button""+tabindex=""0"" sur carte cliquable, Entree active le clic, decorative sans role/tabindex (08924ac9, 28/08 -- ANTERIEUR a la mesure du 09-01, verdict perime ; verifie grep OrigamCard.vue lignes 12-14, 356-412). C5 defaut -> conforme : le theme origam forcait flat:true sur toute carte (light ET dark), bloquant isHoverable ; flat:true retire des deux blocs du theme (#645/#641, 170c9cc8) -- update:hover vivant, A/B 6/6, verifie grep (theme ne mentionne plus flat pour origam-card). OrigamCard.hover-gating.spec.ts corrige pour monter avec createOrigam() reel (montait sans theme actif, donc aveugle au defaut)."
L23	OrigamCard	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L67	OrigamCommandPalette	C6	defaut	conforme	"C6 defaut -> conforme : aria-activedescendant suit les fleches et pointe un aria-selected=""true"" reel (081724bc+49aeb512, 30/08 -- ANTERIEUR a la mesure du 09-01, verdict perime ; verifie grep OrigamCommandPalette.vue lignes 34/91)."
L67	OrigamCommandPalette	Gravite	majeur	aucun	"C6 defaut -> conforme : aria-activedescendant suit les fleches et pointe un aria-selected=""true"" reel (081724bc+49aeb512, 30/08 -- ANTERIEUR a la mesure du 09-01, verdict perime ; verifie grep OrigamCommandPalette.vue lignes 34/91)."
L67	OrigamCommandPalette	Ticket	#404	#404 ; CORRIGE (081724bc+49aeb512 30/08, #404)	"C6 defaut -> conforme : aria-activedescendant suit les fleches et pointe un aria-selected=""true"" reel (081724bc+49aeb512, 30/08 -- ANTERIEUR a la mesure du 09-01, verdict perime ; verifie grep OrigamCommandPalette.vue lignes 34/91)."
L67	OrigamCommandPalette	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L103	OrigamFileFieldDragNDropItem	C5	defaut	conforme	C5 defaut -> conforme : click:remove/click:download etaient deja emis mais non testes ; 6 tests ajoutes (file-field-item-click-remove-download-C5.spec.ts, verifie present et non-vide), A/B verifie (retirer l'emit fait rougir 1/6).
L103	OrigamFileFieldDragNDropItem	Gravite	majeur	aucun	C5 defaut -> conforme : click:remove/click:download etaient deja emis mais non testes ; 6 tests ajoutes (file-field-item-click-remove-download-C5.spec.ts, verifie present et non-vide), A/B verifie (retirer l'emit fait rougir 1/6).
L103	OrigamFileFieldDragNDropItem	Ticket	#418	#418 ; CORRIGE — couverture C5 ajoutee (10/09) — #418	C5 defaut -> conforme : click:remove/click:download etaient deja emis mais non testes ; 6 tests ajoutes (file-field-item-click-remove-download-C5.spec.ts, verifie present et non-vide), A/B verifie (retirer l'emit fait rougir 1/6).
L103	OrigamFileFieldDragNDropItem	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L104	OrigamFileFieldListItem	C5	defaut	conforme	C5 defaut -> conforme : meme correctif que OrigamFileFieldDragNDropItem (fichier de test partage), voir cette ligne pour le detail.
